Date,Time,DateTime,Energy_level,Mood,Weather_Condition,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
09 August 2025 10:00:00 AM,10:00:00 AM,09-08-2025 10:00,8,Tired,Cloudy,Sleep,Bedroom,1,0,
09 August 2025 11:00:00 AM,11:00:00 AM,09-08-2025 11:00,8,Happy,Cloudy,Groceries,Sainsburys,1,0,
09 August 2025 12:00:00 PM,12:00:00 PM,09-08-2025 12:00,7,Focused,Cloudy,Planning,Sitting Room,1,1,
09 August 2025 1:00:00 PM,1:00:00 PM,09-08-2025 13:00,7,Excited,Cloudy,Gaming,Gaming Room,1,0,
09 August 2025 2:00:00 PM,2:00:00 PM,09-08-2025 14:00,8,Energised,Sunny,Gaming,Gaming Room,1,0,
09 August 2025 3:00:00 PM,3:00:00 PM,09-08-2025 15:00,8,Excited,Sunny,Travel,Car,1,0,
09 August 2025 4:00:00 PM,4:00:00 PM,09-08-2025 16:00,8,Excited,Sunny,Travel,Train,1,0,
09 August 2025 5:00:00 PM,5:00:00 PM,09-08-2025 17:00,8,Happy,Sunny,Arcade,Arcade,1,0,
09 August 2025 6:00:00 PM,6:00:00 PM,09-08-2025 18:00,7,Fulfilled,Sunny,Eating,Food Court,1,0,
09 August 2025 7:00:00 PM,7:00:00 PM,09-08-2025 19:00,8,Happy,Sunny,Walk,Outdoors,1,0,
09 August 2025 8:00:00 PM,8:00:00 PM,09-08-2025 20:00,8,Excited,Clear Skies,Chilling,Sitting Room,1,0,
09 August 2025 9:00:00 PM,9:00:00 PM,09-08-2025 21:00,8,Excited,Clear Skies,Movie,Cinema,1,0,
09 August 2025 10:00:00 PM,10:00:00 PM,09-08-2025 22:00,8,Happy,Clear Skies,Movie,Cinema,1,0,
09 August 2025 11:00:00 PM,11:00:00 PM,09-08-2025 23:00,8,Fulfilled,Clear Skies,Movie,Cinema,1,0,
10 August 2025 9:00:00 AM,9:00:00 AM,10-08-2025 09:00,,,,,,,,
10 August 2025 10:00:00 AM,10:00:00 AM,10-08-2025 10:00,7,Tired,Sunny,Sleep,Bedroom,1,0,
10 August 2025 11:00:00 AM,11:00:00 AM,10-08-2025 11:00,7,Fulfilled,Sunny,Breakfast,Dining Room,1,0,
10 August 2025 12:00:00 PM,12:00:00 PM,10-08-2025 12:00,5,Tired,Sunny,Chilling,Sitting Room,1,0,
10 August 2025 1:00:00 PM,1:00:00 PM,10-08-2025 13:00,5,Tired,Sunny,Chilling,Sitting Room,1,0,
10 August 2025 2:00:00 PM,2:00:00 PM,10-08-2025 14:00,5,Tired,Sunny,Chilling,Sitting Room,1,0,
10 August 2025 3:00:00 PM,3:00:00 PM,10-08-2025 15:00,5,Tired,Cloudy,Chilling,Bedroom,1,0,
10 August 2025 4:00:00 PM,4:00:00 PM,10-08-2025 16:00,6,Tired,Sunny,Travel,Tfl,1,0,
10 August 2025 5:00:00 PM,5:00:00 PM,10-08-2025 17:00,8,Fulfilled,Sunny,Chilling,Waseem's Flat,1,0,
10 August 2025 6:00:00 PM,6:00:00 PM,10-08-2025 18:00,6,Tired,Sunny,Gaming,Waseem's Flat,1,0,
10 August 2025 7:00:00 PM,7:00:00 PM,10-08-2025 19:00,8,Energised,Sunny,Board Games,Waseem's Flat,1,0,
10 August 2025 8:00:00 PM,8:00:00 PM,10-08-2025 20:00,8,Fulfilled,Cloudy,Chilling,Waseem's Flat,1,0,
10 August 2025 9:00:00 PM,9:00:00 PM,10-08-2025 21:00,7,Happy,Clear Skies,Movie,Waseem's Flat,1,0,
10 August 2025 10:00:00 PM,10:00:00 PM,10-08-2025 22:00,7,Happy,Clear Skies,Movie,Waseem's Flat,1,0,
10 August 2025 11:00:00 PM,11:00:00 PM,10-08-2025 23:00,4,Tired,Clear Skies,Travel,Tfl,1,0,
11 August 2025 9:00:00 AM,9:00:00 AM,11-08-2025 09:00,7,Energised,Sunny,Sleep,Bedroom,1,0,
11 August 2025 10:00:00 AM,10:00:00 AM,11-08-2025 10:00,6,Tired,Sunny,Travel,Tfl,1,0,
11 August 2025 11:00:00 AM,11:00:00 AM,11-08-2025 11:00,7,Tired,Sunny,"Travel, Reading",National Rail,1,1,
11 August 2025 12:00:00 PM,12:00:00 PM,11-08-2025 12:00,7,Energised,Sunny,Walk,Outdoors,1,0,
11 August 2025 1:00:00 PM,1:00:00 PM,11-08-2025 13:00,7,Calm,Cloudy,Chilling,Office,1,1,
11 August 2025 2:00:00 PM,2:00:00 PM,11-08-2025 14:00,7,Calm,Cloudy,Walk,Outdoors,1,0,
11 August 2025 3:00:00 PM,3:00:00 PM,11-08-2025 15:00,3,Tired,Sunny,"Travel, Reading",National Rail,1,1,
11 August 2025 4:00:00 PM,4:00:00 PM,11-08-2025 16:00,5,Happy,Sunny,"Travel, Reading",Tfl,1,1,
11 August 2025 5:00:00 PM,5:00:00 PM,11-08-2025 17:00,8,Excited,Sunny,Walk,Outdoors,1,1,
11 August 2025 6:00:00 PM,6:00:00 PM,11-08-2025 18:00,7,Tired,Sunny,Shower,Bathroom,1,0,
11 August 2025 7:00:00 PM,7:00:00 PM,11-08-2025 19:00,7,Excited,Cloudy,Travel,In-laws,1,0,
11 August 2025 8:00:00 PM,8:00:00 PM,11-08-2025 20:00,6,Tired,Cloudy,Chilling,In-laws,1,0,
11 August 2025 9:00:00 PM,9:00:00 PM,11-08-2025 21:00,8,Calm,Cloudy,Chilling,In-Laws,1,0,
11 August 2025 10:00:00 PM,10:00:00 PM,11-08-2025 22:00,7,"Loved, Fulfilled",Cloudy,Groceries,Tesco,1,1,
11 August 2025 11:00:00 PM,11:00:00 PM,11-08-2025 23:00,8,"Loved, Fulfilled",Cloudy,Chilling,Bedroom,1,0,
12 August 2025 9:00:00 AM,9:00:00 AM,12-08-2025 09:00,7,Energised,Sunny,Sleep,Bedroom,1,0,
12 August 2025 10:00:00 AM,10:00:00 AM,12-08-2025 10:00,8,Tired,Sunny,Exercise,Bedroom,6,1,
12 August 2025 11:00:00 AM,11:00:00 AM,12-08-2025 11:00,8,Hangry,Sunny,Work,Office Space,8,0,
12 August 2025 12:00:00 PM,12:00:00 PM,12-08-2025 12:00,8,Fulfilled,"Sunny, Hot",Lunch,Sitting Room,1,0,
12 August 2025 1:00:00 PM,1:00:00 PM,12-08-2025 13:00,6,Tired,"Sunny, Hot",Work,Office Space,2,1,
12 August 2025 2:00:00 PM,2:00:00 PM,12-08-2025 14:00,4,"Tired, Fulfilled","Sunny, Hot",Work,Office Space ,1,2,
12 August 2025 3:00:00 PM,3:00:00 PM,12-08-2025 15:00,6,Tired,"Sunny, Hot",Work,Office Space,1,1,
12 August 2025 4:00:00 PM,4:00:00 PM,12-08-2025 16:00,8,Energised,"Sunny, Hot",Battleship,Bedroom,6,1,
12 August 2025 5:00:00 PM,5:00:00 PM,12-08-2025 17:00,6,Happy,"Sunny, Hot",Board Games,Bedroom,6,0,
12 August 2025 6:00:00 PM,6:00:00 PM,12-08-2025 18:00,8,"Happy, Excited",Sunny,Board Games,Bedroom,1,0,
12 August 2025 7:00:00 PM,7:00:00 PM,12-08-2025 19:00,8,"Happy, Excited",Sunny,Board Games,Bedroom,1,0,
12 August 2025 8:00:00 PM,8:00:00 PM,12-08-2025 20:00,8,"Happy, Excited",Sunny,Board Games,Bedroom,1,0,
12 August 2025 9:00:00 PM,9:00:00 PM,12-08-2025 21:00,7,"Happy, Tired",Sunny,Board Games,Bedroom,6,1,
12 August 2025 10:00:00 PM,10:00:00 PM,12-08-2025 22:00,6,"Happy, Excited",Clear Skies,Movie,Bedroom,1,1,
12 August 2025 11:00:00 PM,11:00:00 PM,12-08-2025 23:00,8,"Loved, Fulfilled",Clear Skies,Movie,Bedroom,1,1,
13 August 2025 9:00:00 AM,9:00:00 AM,13-08-2025 09:00,8,Calm,Cloudy,Sleep,Bedroom,1,0,
13 August 2025 10:00:00 AM,10:00:00 AM,13-08-2025 10:00,8,Energised,Gloomy,Exercise,Bedroom,1,1,
13 August 2025 11:00:00 AM,11:00:00 AM,13-08-2025 11:00,8,Happy,Cloudy,Work,Office Space,6,1,
13 August 2025 12:00:00 PM,12:00:00 PM,13-08-2025 12:00,6,Happy,Cloudy,Lunch,Sitting Room,10,0,
13 August 2025 1:00:00 PM,1:00:00 PM,13-08-2025 13:00,6,Happy,Cloudy,Work,Office Space,1,1,
