Date,Time,DateTime,Energy_level,Mood,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
"Saturday, August 9, 2025",6:00:00 PM,09-08-2025 18:00,7,Fulfilled,Eating,Food Court,0,0,
"Saturday, August 9, 2025",7:00:00 PM,09-08-2025 19:00,8,Happy,Walk,Outdoors,0,0,
"Saturday, August 9, 2025",8:00:00 PM,09-08-2025 20:00,8,Excited,Chilling,Sitting Room,0,0,
"Saturday, August 9, 2025",9:00:00 PM,09-08-2025 21:00,8,Excited,Movie,Cinema,0,0,
"Saturday, August 9, 2025",10:00:00 PM,09-08-2025 22:00,8,Happy,Movie,Cinema,0,0,
"Saturday, August 9, 2025",11:00:00 PM,09-08-2025 23:00,8,Fulfilled,Movie,Cinema,0,0,
"Sunday, August 10, 2025",9:00:00 AM,10-08-2025 09:00,,,,,,,
"Sunday, August 10, 2025",10:00:00 AM,10-08-2025 10:00,7,Tired,Sleep,Bedroom,0,0,
"Sunday, August 10, 2025",11:00:00 AM,10-08-2025 11:00,7,Fulfilled,Breakfast,Dining Room,0,0,
"Sunday, August 10, 2025",12:00:00 PM,10-08-2025 12:00,5,Tired,Chilling,Sitting Room,0,0,
"Sunday, August 10, 2025",1:00:00 PM,10-08-2025 13:00,5,Tired,Chilling,Sitting Room,0,0,
"Sunday, August 10, 2025",2:00:00 PM,10-08-2025 14:00,5,Tired,Chilling,Sitting Room,0,0,
"Sunday, August 10, 2025",3:00:00 PM,10-08-2025 15:00,5,Tired,Chilling,Bedroom,0,0,
"Sunday, August 10, 2025",4:00:00 PM,10-08-2025 16:00,6,Tired,Travel,Tfl,0,0,
"Sunday, August 10, 2025",5:00:00 PM,10-08-2025 17:00,8,Fulfilled,Chilling,Friend's Flat,0,0,
"Sunday, August 10, 2025",6:00:00 PM,10-08-2025 18:00,6,Tired,Gaming,Friend's Flat,0,0,
"Sunday, August 10, 2025",7:00:00 PM,10-08-2025 19:00,8,Energised,Board Games,Friend's Flat,0,0,
"Sunday, August 10, 2025",8:00:00 PM,10-08-2025 20:00,8,Fulfilled,Chilling,Friend's Flat,0,0,
"Sunday, August 10, 2025",9:00:00 PM,10-08-2025 21:00,7,Happy,Movie,Friend's Flat,0,0,
"Sunday, August 10, 2025",10:00:00 PM,10-08-2025 22:00,7,Happy,Movie,Friend's Flat,0,0,
"Sunday, August 10, 2025",11:00:00 PM,10-08-2025 23:00,4,Tired,Travel,Tfl,0,0,
"Monday, August 11, 2025",9:00:00 AM,11-08-2025 09:00,7,Energised,Sleep,Bedroom,0,0,
"Monday, August 11, 2025",10:00:00 AM,11-08-2025 10:00,6,Tired,Travel,Tfl,1,0,
"Monday, August 11, 2025",11:00:00 AM,11-08-2025 11:00,7,Tired,"Travel, Reading",National Rail,1,1,
"Monday, August 11, 2025",12:00:00 PM,11-08-2025 12:00,7,Energised,Walk,Outdoors,1,0,
"Monday, August 11, 2025",1:00:00 PM,11-08-2025 13:00,7,Calm,Chilling,Office,1,1,
"Monday, August 11, 2025",2:00:00 PM,11-08-2025 14:00,7,Calm,Walk,Outdoors,1,0,
"Monday, August 11, 2025",3:00:00 PM,11-08-2025 15:00,3,Tired,"Travel, Reading",National Rail,1,1,
"Monday, August 11, 2025",4:00:00 PM,11-08-2025 16:00,5,Happy,"Travel, Reading",Tfl,1,1,
"Monday, August 11, 2025",5:00:00 PM,11-08-2025 17:00,8,Excited,Walk,Outdoors,1,1,
"Monday, August 11, 2025",6:00:00 PM,11-08-2025 18:00,7,Tired,Shower,Bathroom,0,0,
"Monday, August 11, 2025",7:00:00 PM,11-08-2025 19:00,7,Excited,Travel,In-laws,0,0,
"Monday, August 11, 2025",8:00:00 PM,11-08-2025 20:00,6,Tired,Chilling,In-laws,0,0,
"Monday, August 11, 2025",9:00:00 PM,11-08-2025 21:00,8,Calm,Chilling,In-Laws,0,0,
"Monday, August 11, 2025",10:00:00 PM,11-08-2025 22:00,7,"Loved, Fulfilled",Groceries,Tesco,0,1,
"Monday, August 11, 2025",11:00:00 PM,11-08-2025 23:00,8,"Loved, Fulfilled",Chilling,Bedroom,0,0,
"Tuesday, August 12, 2025",9:00:00 AM,12-08-2025 09:00,7,Energised,Sleep,Bedroom,0,0,
"Tuesday, August 12, 2025",10:00:00 AM,12-08-2025 10:00,8,Tired,Exercise,Bedroom,6,1,
"Tuesday, August 12, 2025",11:00:00 AM,12-08-2025 11:00,8,Hangry,Work,Office Space,0,0,
"Tuesday, August 12, 2025",12:00:00 PM,12-08-2025 12:00,8,Fulfilled,Lunch,Sitting Room,0,0,
"Tuesday, August 12, 2025",1:00:00 PM,12-08-2025 13:00,6,Tired,Work,Office Space,2,1,
"Tuesday, August 12, 2025",2:00:00 PM,12-08-2025 14:00,4,"Tired, Fulfilled",Work,Office Space ,1,2,
"Tuesday, August 12, 2025",3:00:00 PM,12-08-2025 15:00,6,Tired,Work,Office Space,1,1,
"Tuesday, August 12, 2025",4:00:00 PM,12-08-2025 16:00,8,Energised,Battleship,Bedroom,6,1,
"Tuesday, August 12, 2025",5:00:00 PM,12-08-2025 17:00,6,Happy,Board Games,Bedroom,6,0,
"Tuesday, August 12, 2025",6:00:00 PM,12-08-2025 18:00,8,"Happy, Excited",Board Games,Bedroom,0,0,
"Tuesday, August 12, 2025",7:00:00 PM,12-08-2025 19:00,8,"Happy, Excited",Board Games,Bedroom,0,0,
"Tuesday, August 12, 2025",8:00:00 PM,12-08-2025 20:00,8,"Happy, Excited",Board Games,Bedroom,0,0,
"Tuesday, August 12, 2025",9:00:00 PM,12-08-2025 21:00,7,"Happy, Tired",Board Games,Bedroom,6,1,
"Tuesday, August 12, 2025",10:00:00 PM,12-08-2025 22:00,6,"Happy, Excited",Movie,Bedroom,0,1,
"Tuesday, August 12, 2025",11:00:00 PM,12-08-2025 23:00,8,"Loved, Fulfilled",Movie,Bedroom,0,1,
"Wednesday, August 13, 2025",9:00:00 AM,13-08-2025 09:00,8,Calm,Sleep,Bedroom,0,0,
"Wednesday, August 13, 2025",10:00:00 AM,13-08-2025 10:00,8,Energised,Exercise,Bedroom,1,1,
"Wednesday, August 13, 2025",11:00:00 AM,13-08-2025 11:00,8,Happy,Work,Office Space,6,1,
"Wednesday, August 13, 2025",12:00:00 PM,13-08-2025 12:00,6,Happy,Lunch,Sitting Room,0,0,
"Wednesday, August 13, 2025",1:00:00 PM,13-08-2025 13:00,6,Happy,Work,Office Space,1,1,
"Wednesday, August 13, 2025",2:00:00 PM,13-08-2025 14:00,5,Happy,Work,Office Space,1,2,
"Wednesday, August 13, 2025",3:00:00 PM,13-08-2025 15:00,4,Tired,Gaming,Gaming Room,8,0,
"Wednesday, August 13, 2025",4:00:00 PM,13-08-2025 16:00,4,Tired,Chilling,Bedroom,10,0,
"Wednesday, August 13, 2025",5:00:00 PM,13-08-2025 17:00,4,Tired,Board Games,Bedroom,10,0,
"Wednesday, August 13, 2025",6:00:00 PM,13-08-2025 18:00,5,Tired,Board Games,Bedroom,10,0,
"Wednesday, August 13, 2025",7:00:00 PM,13-08-2025 19:00,4,Tired,Netflix,Bedroom,10,0,
"Wednesday, August 13, 2025",8:00:00 PM,13-08-2025 20:00,6,Energised,Exploring,Leyton,0,1,
"Wednesday, August 13, 2025",9:00:00 PM,13-08-2025 21:00,7,Energised,Exploring,Leyton,0,0,
"Wednesday, August 13, 2025",10:00:00 PM,13-08-2025 22:00,7,Energised,Exploring,Leyton,0,0,
"Wednesday, August 13, 2025",11:00:00 PM,13-08-2025 23:00,8,Fulfilled,Reading,Bedroom,0,1,
"Thursday, August 14, 2025",9:00:00 AM,14-08-2025 09:00,8,Energised,Sleep,Bedroom,0,0,
"Thursday, August 14, 2025",10:00:00 AM,14-08-2025 10:00,8,Focused,Work,Office Space,1,1,
"Thursday, August 14, 2025",11:00:00 AM,14-08-2025 11:00,7,Happy,Lunch,Dining Room,0,1,
"Thursday, August 14, 2025",12:00:00 PM,14-08-2025 12:00,7,Tired,Work,Office Space,1,1,
"Thursday, August 14, 2025",1:00:00 PM,14-08-2025 13:00,6,Calm,Work,Office Space,1,1,
"Thursday, August 14, 2025",2:00:00 PM,14-08-2025 14:00,7,Focused,Work,Office Space,1,1,
"Thursday, August 14, 2025",3:00:00 PM,14-08-2025 15:00,7,Focused,Work,Office Space,1,1,
"Thursday, August 14, 2025",4:00:00 PM,14-08-2025 16:00,7,Tired,Gaming,Gaming Room,4,1,
"Thursday, August 14, 2025",5:00:00 PM,14-08-2025 17:00,6,Calm,Gaming,Gaming Room,10,0,
"Thursday, August 14, 2025",6:00:00 PM,14-08-2025 18:00,7,Calm,Chilling,In-laws,0,0,
"Thursday, August 14, 2025",7:00:00 PM,14-08-2025 19:00,7,Excited,Chilling,In-laws,0,0,
"Thursday, August 14, 2025",8:00:00 PM,14-08-2025 20:00,8,Energised,Chilling,In-laws,0,0,
"Thursday, August 14, 2025",9:00:00 PM,14-08-2025 21:00,8,Energised,Chilling,In-laws,0,0,
"Thursday, August 14, 2025",10:00:00 PM,14-08-2025 22:00,8,Excited,Chilling,Ilford Lane,0,0,
"Thursday, August 14, 2025",11:00:00 PM,14-08-2025 23:00,8,Excited,Chilling,Ilford Lane,0,0,
"Friday, August 15, 2025",9:00:00 AM,15-08-2025 09:00,6,Tired,Sleep,Bedroom,0,0,
"Friday, August 15, 2025",10:00:00 AM,15-08-2025 10:00,8,Focused,Work,Office Space,1,2,
"Friday, August 15, 2025",11:00:00 AM,15-08-2025 11:00,9,Happy,Gaming,Gaming Room,5,0,
"Friday, August 15, 2025",12:00:00 PM,15-08-2025 12:00,7,Happy,Lunch,Dining Room,0,0,
"Friday, August 15, 2025",1:00:00 PM,15-08-2025 13:00,6,Tired,Work,Office Space,1,1,
"Friday, August 15, 2025",2:00:00 PM,15-08-2025 14:00,6,Fulfilled,Prayer,Mosque,1,0,
"Friday, August 15, 2025",3:00:00 PM,15-08-2025 15:00,7,Excited,Walk,Ilford Lane,1,2,
"Friday, August 15, 2025",4:00:00 PM,15-08-2025 16:00,8,Excited,YouTube,Office Space,5,0,
"Friday, August 15, 2025",5:00:00 PM,15-08-2025 17:00,8,Excited,Driving,Friend's House,0,0,
"Friday, August 15, 2025",6:00:00 PM,15-08-2025 18:00,8,Happy,Chilling,Friend's House,0,0,
"Friday, August 15, 2025",7:00:00 PM,15-08-2025 19:00,8,Happy,Chilling,Friend's House,0,0,
"Friday, August 15, 2025",8:00:00 PM,15-08-2025 20:00,8,Tired,Chilling,Friend's House,0,0,
"Friday, August 15, 2025",9:00:00 PM,15-08-2025 21:00,8,Tired,Driving,Friend's House,0,0,
"Friday, August 15, 2025",10:00:00 PM,15-08-2025 22:00,8,Energised,Desk Setup,Office Space,0,1,
"Friday, August 15, 2025",11:00:00 PM,15-08-2025 23:00,8,Excited,Date Night,Bedroom,0,1,
"Saturday, August 16, 2025",9:00:00 AM,16-08-2025 09:00,,,,,,,
"Saturday, August 16, 2025",10:00:00 AM,16-08-2025 10:00,,,,,,,
"Saturday, August 16, 2025",11:00:00 AM,16-08-2025 11:00,7,Tired,Sleep,Bedroom,,,
"Saturday, August 16, 2025",12:00:00 PM,16-08-2025 12:00,8,Happy,Chilling,Bedroom,10,0,
"Saturday, August 16, 2025",1:00:00 PM,16-08-2025 13:00,8,Energised,Exercise,Bedroom,1,1,
"Saturday, August 16, 2025",2:00:00 PM,16-08-2025 14:00,8,Happy,Lunch,Dining Room,0,1,
"Saturday, August 16, 2025",3:00:00 PM,16-08-2025 15:00,8,Happy,Movie,Bedroom,0,0,
"Saturday, August 16, 2025",4:00:00 PM,16-08-2025 16:00,8,Fulfilled,Movie,Bedroom,0,0,
"Saturday, August 16, 2025",5:00:00 PM,16-08-2025 17:00,4,Energised,Nerf,Gaming Room,0,0,
"Saturday, August 16, 2025",6:00:00 PM,16-08-2025 18:00,6,Tired,Movie,Bedroom,0,0,
"Saturday, August 16, 2025",7:00:00 PM,16-08-2025 19:00,7,Tired,Movie,Bedroom,0,0,
"Saturday, August 16, 2025",8:00:00 PM,16-08-2025 20:00,9,Loved,Exercise,Bedroom,0,0,
"Saturday, August 16, 2025",9:00:00 PM,16-08-2025 21:00,7,Happy,Movie,Bedroom,0,0,
"Saturday, August 16, 2025",10:00:00 PM,16-08-2025 22:00,7,Happy,Documentary,Bedroom,0,1,
"Saturday, August 16, 2025",11:00:00 PM,16-08-2025 23:00,7,Energised,Documentary,Bedroom,0,1,
"Sunday, August 17, 2025",9:00:00 AM,17-08-2025 09:00,,,,,,,
"Sunday, August 17, 2025",10:00:00 AM,17-08-2025 10:00,,,,,,,
"Sunday, August 17, 2025",11:00:00 AM,17-08-2025 11:00,,,,,,,
"Sunday, August 17, 2025",12:00:00 PM,17-08-2025 12:00,8,Happy,Sleep,Bedroom,0,0,
"Sunday, August 17, 2025",1:00:00 PM,17-08-2025 13:00,7,Energised,Chilling,Bedroom,0,0,
"Sunday, August 17, 2025",2:00:00 PM,17-08-2025 14:00,7,Tired,Lunch,Dining Room,0,0,
"Sunday, August 17, 2025",3:00:00 PM,17-08-2025 15:00,7,Excited,Board Games ,Bedroom,0,0,
"Sunday, August 17, 2025",4:00:00 PM,17-08-2025 16:00,7,Excited,Board Games ,Bedroom,0,0,
"Sunday, August 17, 2025",5:00:00 PM,17-08-2025 17:00,7,Excited,Football ,Sitting Room,0,0,
"Sunday, August 17, 2025",6:00:00 PM,17-08-2025 18:00,7,Excited,Football ,Sitting Room,0,0,
"Sunday, August 17, 2025",7:00:00 PM,17-08-2025 19:00,7,Fulfilled,Chilling,Bedroom,0,0,
"Sunday, August 17, 2025",8:00:00 PM,17-08-2025 20:00,6,Loved,Chilling,Bedroom,0,0,
"Sunday, August 17, 2025",9:00:00 PM,17-08-2025 21:00,8,Loved,Chilling,Bedroom,0,0,
"Sunday, August 17, 2025",10:00:00 PM,17-08-2025 22:00,7,Loved,Chilling,Bedroom,0,0,
"Sunday, August 17, 2025",11:00:00 PM,17-08-2025 23:00,9,Loved,Chilling,Bedroom,0,0,
"Monday, August 18, 2025",9:00:00 AM,18-08-2025 09:00,9,Happy,Gaming,Gaming Room,0,0,
"Monday, August 18, 2025",10:00:00 AM,18-08-2025 10:00,8,Happy,Chilling,Gaming Room,10,0,
"Monday, August 18, 2025",11:00:00 AM,18-08-2025 11:00,8,Happy,Anime,Gaming Room,10,0,
"Monday, August 18, 2025",12:00:00 PM,18-08-2025 12:00,7,Happy,Lunch,Dining Room,0,0,
"Monday, August 18, 2025",1:00:00 PM,18-08-2025 13:00,8,Happy,Lunch,Dining Room,10,0,
"Monday, August 18, 2025",2:00:00 PM,18-08-2025 14:00,7,Energised,Anime,Bedroom,10,0,
"Monday, August 18, 2025",3:00:00 PM,18-08-2025 15:00,6,Energised,Anime,Bedroom,10,0,
"Monday, August 18, 2025",4:00:00 PM,18-08-2025 16:00,7,Happy,Drama,Bedroom,10,0,
"Monday, August 18, 2025",5:00:00 PM,18-08-2025 17:00,7,Angry,Personality Test,Bedroom,8,1,
"Monday, August 18, 2025",6:00:00 PM,18-08-2025 18:00,4,Tired,Anime,Bedroom,10,0,
"Monday, August 18, 2025",7:00:00 PM,18-08-2025 19:00,3,Tired,Dinner,Dining Room,0,0,
"Monday, August 18, 2025",8:00:00 PM,18-08-2025 20:00,4,Tired,Anime,Bedroom,10,0,
"Monday, August 18, 2025",9:00:00 PM,18-08-2025 21:00,5,Tired,Anime,Bedroom,10,0,
"Monday, August 18, 2025",10:00:00 PM,18-08-2025 22:00,6,Tired,Anime,Bedroom,10,0,
"Monday, August 18, 2025",11:00:00 PM,18-08-2025 23:00,6,Excited,Anime,Bedroom,10,0,
"Tuesday, August 19, 2025",9:00:00 AM,19-08-2025 09:00,4,Tired,Sleep,Bedroom,0,0,
"Tuesday, August 19, 2025",10:00:00 AM,19-08-2025 10:00,6,Energised,Anime,Bedroom,10,0,
"Tuesday, August 19, 2025",11:00:00 AM,19-08-2025 11:00,8,Happy,Chilling,Bedroom,10,0,
"Tuesday, August 19, 2025",12:00:00 PM,19-08-2025 12:00,6,Happy,Lunch,Dining Room,0,0,
"Tuesday, August 19, 2025",1:00:00 PM,19-08-2025 13:00,7,Happy,Work,Office Space,1,1,Applying for jobs
"Tuesday, August 19, 2025",2:00:00 PM,19-08-2025 14:00,6,Happy,Work,Office Space,1,1,DS Research for upskilling / portfolio
"Tuesday, August 19, 2025",3:00:00 PM,19-08-2025 15:00,6,Frustrated,Reading,Bedroom,6,1,
"Tuesday, August 19, 2025",4:00:00 PM,19-08-2025 16:00,7,Tired,Chilling,Beckton,8,1,
"Tuesday, August 19, 2025",5:00:00 PM,19-08-2025 17:00,8,Happy,Chilling,Beckton,8,1,
"Tuesday, August 19, 2025",6:00:00 PM,19-08-2025 18:00,8,Happy,Chilling,Beckton,0,1,
"Tuesday, August 19, 2025",7:00:00 PM,19-08-2025 19:00,6,Happy,Chilling,Beckton,0,1,
"Tuesday, August 19, 2025",8:00:00 PM,19-08-2025 20:00,6,Happy,Food,Dining Room,0,0,
"Tuesday, August 19, 2025",9:00:00 PM,19-08-2025 21:00,4,Happy,Anime,Bedroom,0,0,
"Tuesday, August 19, 2025",10:00:00 PM,19-08-2025 22:00,8,Happy,Anime,Bedroom,0,0,
"Tuesday, August 19, 2025",11:00:00 PM,19-08-2025 23:00,8,Happy,TV,Bedroom,0,0,
"Wednesday, August 20, 2025",9:00:00 AM,20-08-2025 09:00,7,Tired,Sleep,Bedroom,0,0,
"Wednesday, August 20, 2025",10:00:00 AM,20-08-2025 10:00,6,Tired,"Work, Chilling",Bedroom,5,1,
"Wednesday, August 20, 2025",11:00:00 AM,20-08-2025 11:00,8,Focused,Work,Office Space,5,1,
"Wednesday, August 20, 2025",12:00:00 PM,20-08-2025 12:00,6,Tired,Lunch,Dining Room,0,0,
"Wednesday, August 20, 2025",1:00:00 PM,20-08-2025 13:00,8,Focused,Work,Office Space,1,1,
"Wednesday, August 20, 2025",2:00:00 PM,20-08-2025 14:00,8,Focused,Work,Office Space,1,1,
"Wednesday, August 20, 2025",3:00:00 PM,20-08-2025 15:00,7,Focused,Work,Office Space,1,1,
"Wednesday, August 20, 2025",4:00:00 PM,20-08-2025 16:00,7,Focused,Work,Office Space,1,1,
"Wednesday, August 20, 2025",5:00:00 PM,20-08-2025 17:00,8,Hangry,Work,Office Space,1,1,
"Wednesday, August 20, 2025",6:00:00 PM,20-08-2025 18:00,8,Upset,Food,Kitchen,0,1,
"Wednesday, August 20, 2025",7:00:00 PM,20-08-2025 19:00,4,Numb,Netflix,Bedroom,0,1,
"Wednesday, August 20, 2025",8:00:00 PM,20-08-2025 20:00,4,Numb,Chilling,Car,0,0,
"Wednesday, August 20, 2025",9:00:00 PM,20-08-2025 21:00,4,Upset,Chilling,Car,0,0,
"Wednesday, August 20, 2025",10:00:00 PM,20-08-2025 22:00,4,Angry,Prayer,Mosque,0,0,
"Wednesday, August 20, 2025",11:00:00 PM,20-08-2025 23:00,4,Numb,Gaming,Gaming Room,0,0,
"Thursday, August 21, 2025",9:00:00 AM,21-08-2025 09:00,4,Tired,Sleep,Bedroom,0,0,
"Thursday, August 21, 2025",10:00:00 AM,21-08-2025 10:00,6,Tired,Exercise,Bedroom,1,1,
"Thursday, August 21, 2025",11:00:00 AM,21-08-2025 11:00,6,Loved,"Work, Gaming",Office Space,5,2,
"Thursday, August 21, 2025",12:00:00 PM,21-08-2025 12:00,7,Energised,Lunch,Dining Room,0,0,
"Thursday, August 21, 2025",1:00:00 PM,21-08-2025 13:00,4,Tired,Chilling,Dining Room,8,1,
"Thursday, August 21, 2025",2:00:00 PM,21-08-2025 14:00,6,Tired,Gaming,Gaming Room,10,0,
"Thursday, August 21, 2025",3:00:00 PM,21-08-2025 15:00,6,Tired,Gaming,Gaming Room,10,0,
"Thursday, August 21, 2025",4:00:00 PM,21-08-2025 16:00,8,Excited,Planning,Office Space,5,1,
"Thursday, August 21, 2025",5:00:00 PM,21-08-2025 17:00,7,Excited,Chilling,In-Laws,0,0,
"Thursday, August 21, 2025",6:00:00 PM,21-08-2025 18:00,7,Happy,Chilling,In-Laws,0,0,
"Thursday, August 21, 2025",7:00:00 PM,21-08-2025 19:00,7,Happy,Chilling,In-Laws,0,0,
"Thursday, August 21, 2025",8:00:00 PM,21-08-2025 20:00,7,Happy,Chilling,In-Laws,0,0,
"Thursday, August 21, 2025",9:00:00 PM,21-08-2025 21:00,7,Happy,Chilling,In-Laws,0,0,
"Thursday, August 21, 2025",10:00:00 PM,21-08-2025 22:00,6,Happy,Chilling,In-Laws,0,0,
"Thursday, August 21, 2025",11:00:00 PM,21-08-2025 23:00,6,Happy,Chilling,Bedroom,0,0,
"Friday, August 22, 2025",9:00:00 AM,22-08-2025 09:00,4,Happy,Sleep,Bedroom,0,0,
"Friday, August 22, 2025",10:00:00 AM,22-08-2025 10:00,8,Happy,Work,Office Space,5,2,
"Friday, August 22, 2025",11:00:00 AM,22-08-2025 11:00,6,Happy,Work,Office Space,1,1,
"Friday, August 22, 2025",12:00:00 PM,22-08-2025 12:00,7,Happy,Lunch,Dining Room,0,0,
"Friday, August 22, 2025",1:00:00 PM,22-08-2025 13:00,8,Happy,Shower,Bathroom,4,1,
"Friday, August 22, 2025",2:00:00 PM,22-08-2025 14:00,7,Happy,Prayer,Mosque,4,1,
"Friday, August 22, 2025",3:00:00 PM,22-08-2025 15:00,7,Focused,Work,Office Space,1,1,
